,Method,matrix,N,sigma,run,Residual Norm 1,Residual Norm 2
17,MG,BCSSTK14.mat,1806,0.001,0,0.0033631716027938308,1.737444868391249e-16
18,SD,BCSSTK14.mat,1806,0.001,0,2.3852511532700407e-15,0.01493730232099013
19,GMRES,BCSSTK14.mat,1806,0.001,0,0.004153072221940611,3.652446983908892
0,CG,BCSSTK15.mat,3948,1e-07,0,4.671611568551171e-19,1.2836737016870365e-05
1,MG,BCSSTK15.mat,3948,1e-07,0,1.253311895299018e-07,7.039200192837655e-17
2,SD,BCSSTK15.mat,3948,1e-07,0,2.9026616790240487e-18,1.7963105150862646e-06
3,GMRES,BCSSTK15.mat,3948,1e-07,0,1.7545883768053088e-06,3.0719830533666317e-06
4,CG,BCSSTK15.mat,3948,1e-06,0,4.474138755804636e-18,0.00011163787157957032
5,MG,BCSSTK15.mat,3948,1e-06,0,4.097083700846451e-07,6.749838486602319e-17
6,SD,BCSSTK15.mat,3948,1e-06,0,2.7735485161730317e-17,1.31894924068076e-05
7,GMRES,BCSSTK15.mat,3948,1e-06,0,3.825564735721219e-07,1.3973132736417689e-05
8,CG,BCSSTK15.mat,3948,1e-05,0,5.270500294040134e-17,0.00136920802927112
9,MG,BCSSTK15.mat,3948,1e-05,0,1.045916003954019e-05,5.485623932720528e-17
10,SD,BCSSTK15.mat,3948,1e-05,0,2.816780374647318e-16,0.00014691260849146977
11,GMRES,BCSSTK15.mat,3948,1e-05,0,3.2469769763613207e-07,6.902675857778007e-05
12,CG,BCSSTK15.mat,3948,0.0001,0,4.712035657142293e-16,0.01095078514718053
13,MG,BCSSTK15.mat,3948,0.0001,0,0.0001703598555334075,5.40678324628914e-17
14,SD,BCSSTK15.mat,3948,0.0001,0,2.928342065413085e-15,0.0014149346823005106
15,GMRES,BCSSTK15.mat,3948,0.0001,0,4.790165687034724e-07,0.00024864761445397794
16,CG,BCSSTK15.mat,3948,0.001,0,4.782252150676983e-15,0.09639782748934929
17,MG,BCSSTK15.mat,3948,0.001,0,0.0022791172216542117,8.698496823143283e-17
18,SD,BCSSTK15.mat,3948,0.001,0,2.7428692333832173e-14,0.014240525705694668
19,GMRES,BCSSTK15.mat,3948,0.001,0,1.49453195399964e-06,0.003302718352866559
0,CG,BCSSTK18.mat,11948,1e-07,0,1.0783447521197516e-19,3.846379628518594e-05
1,MG,BCSSTK18.mat,11948,1e-07,0,1.8550312196785442e-06,1.176352457480067e-15
2,SD,BCSSTK18.mat,11948,1e-07,0,1.7335360355969372e-18,5.0328853303734065e-06
3,GMRES,BCSSTK18.mat,11948,1e-07,0,4.94256639064196e-08,7.669826971994961e-05
4,CG,BCSSTK18.mat,11948,1e-06,0,1.1364381469989466e-18,0.00013523850019994712
5,MG,BCSSTK18.mat,11948,1e-06,0,1.8647356498070176e-05,1.0927178005450435e-15
6,SD,BCSSTK18.mat,11948,1e-06,0,1.723482272124227e-17,5.096162238185215e-05
7,GMRES,BCSSTK18.mat,11948,1e-06,0,2.3632275659279252e-07,0.0002753163655088085
8,CG,BCSSTK18.mat,11948,1e-05,0,8.578677190216128e-18,0.0009889801035562887
9,MG,BCSSTK18.mat,11948,1e-05,0,0.00017987300976719678,1.0450732986111185e-15
10,SD,BCSSTK18.mat,11948,1e-05,0,1.729657422191416e-16,0.000504255307136937
11,GMRES,BCSSTK18.mat,11948,1e-05,0,4.1011416866506697e-07,0.0008434569397754594
12,CG,BCSSTK18.mat,11948,0.0001,0,9.866807579862929e-17,0.01542803069869625
13,MG,BCSSTK18.mat,11948,0.0001,0,0.002263834290833091,1.076415482613272e-15
14,SD,BCSSTK18.mat,11948,0.0001,0,1.7925236569198085e-15,0.005019331136256151
15,GMRES,BCSSTK18.mat,11948,0.0001,0,3.757547261016361e-06,0.0037891742367650596
16,CG,BCSSTK18.mat,11948,0.001,0,8.875873111891887e-16,0.11958462681014781
17,MG,BCSSTK18.mat,11948,0.001,0,0.01841774349157087,1.1411218230534999e-15
18,SD,BCSSTK18.mat,11948,0.001,0,1.693019876302012e-14,0.050077811869448804
19,GMRES,BCSSTK18.mat,11948,0.001,0,7.651190154328093e-06,0.03703006459272609
